"Movie","Release_Date","Distributor","Budget_2008","Total_Gross","Opening_Weekend_Gross","Genre","MPAA","Run_Time","Num_Screens","Gross_Per_Screen","IMDB_Score","Academy_Award","Google_Hits","Rotten_Tomatoes"
"Indiana Jones and the Kingdom of the Crystal Skull","05/22/08","Paramount",1.85e+08,317101119,126917373,"Adventure","PG-13",122,4260,29792.81,6.6,9,2220000,77
"Iron Man","05/02/08","Paramount",1.4e+08,318298180,102118668,"Action","PG-13",126,4105,24876.65,8,9,306000,93
"Jodhaa Akbar","02/14/08","UTV Communications",NA,3440718,1602356,"Drama","Not Rated",213,100,12500,7.4,0,137000,75
"Journey to the Center of the Earth","07/11/08","Warner Bros.",4.5e+07,101702060,21018141,"Adventure","PG",93,2811,7477.1,5.9,0,93600,61
"Jumper","02/14/08","FOX – Distributor, Production Company",8.5e+07,80170146,32092991,"Adventure","PG-13",88,3428,9362.02,5.9,3,314000,16
"Juno","12/05/08","Fox Searchlight",7500000,143492840,413869,"Comedy","PG-13",96,7,59124.14,7.9,1,2870000,93
"Kit Kittredge: An American Girl","06/20/08","Picturehouse",1e+07,17655201,220297,"Drama","G",101,5,44059.4,6.7,3,74200,79
"Kung Fu Panda","06/06/08","Paramount--Distributer, Prod-- DreamWorks Animation",1.3e+08,215434591,60239130,"Adventure","PG",92,4114,14642.47,7.7,10,478000,89
"Lakeview Terrace","09/19/08","Columbia Pictures",2.2e+07,39263506,15004672,"Thriller/Suspense","PG-13",110,2464,6089.56,6.3,1,310000,47
"Leatherheads","04/04/08","Universal – Distributor",5.8e+07,31199215,12682595,"Romantic Comedy","PG-13",114,2769,4580.21,6.1,5,3600000,52
"Mad Money","01/18/08","Overture Films",2.2e+07,20668843,9273645,"Comedy","PG-13",104,2470,3754.51,5.5,5,70400,23
"Madagascar: Escape 2 Africa","11/07/08","Paramount--Distributer, Prof DreamWorks Animation",1.5e+08,179982968,63106589,"Comedy","PG",89,4056,15558.82,6.9,1,185000,64
"Made of Honor","05/02/08","Columbia Pictures",4e+07,46012734,14756850,"Romantic Comedy","PG-13",101,2729,5407.42,5.5,0,80500,13
"Magnificent Desolation","09/23/05","IMAX Films",NA,32533825,31868,"Documentary","Not Rated",40,80,6291,7.1,10,71200,88
"Mamma Mia!","07/18/08","Universal – Distributor, Production Company",5.2e+07,144130063,27751240,"Musical","PG-13",108,2976,9325.01,6.6,17,146000,53
"Marley & Me","12/25/08","FOX – Distributor",6e+07,143153751,36367586,"Comedy","PG",120,3480,10450.46,7,4,845000,61
"Max Payne","10/17/08","FOX – Distributor",3.5e+07,40687294,NA,"Action","PG-13",100,NA,NA,5.4,1,304000,18
"Meet Dave","07/11/08","FOX – Distributor, Production Company",6e+07,11802056,5251918,"Comedy","PG",90,3011,1744,4.8,1,211000,19
"Meet the Browns","03/21/08","Lionsqate",NA,41939392,148506,"Comedy","PG-13",100,2006,10011.37,3,2,9300000,29
"Meet the Spartans","01/25/08","FOX – Distributor",3e+07,38233676,18505530,"Comedy","PG-13",84,2605,7103.85,2.4,0,130000,2
"Michael Clayton","10/05/07","Warner Bros.",2.5e+07,49024969,719910,"Drama","R",119,15,47994,7.5,6,992000,90
"Milk","11/26/08","Focus Features",2e+07,31841299,1481155,"Drama","R",128,36,40384.56,7.9,6,444000,93
"Miracle at St. Anna","09/26/08","Walt Disney",4.5e+07,7916887,3477996,"Drama","R",160,1185,2935,5.9,0,901000,34
"Mirrors","08/15/08","FOX – Distributor",3.5e+07,30691439,11161074,"Horror","R",110,2664,4189.59,6.1,0,191000,15
"Miss Pettigrew Lives for a Day","03/07/08","Focus Features",NA,12294036,2490942,"Comedy","PG-13",92,535,4656,7.1,6,64000,78
"Mongol","06/06/08","Picturehouse",2e+07,5701643,135526,"Drama","R",126,5,27065,7.4,0,107000,87
"My Best Friend's Girl","09/19/08","Lionsqate",4e+07,18748603,8265357,"Comedy","R",101,2604,3174.1,5.8,2,1140000,15
"National Treasure: The Book of Secrets","12/21/08","Buena Vista",1.3e+08,219961501,65444195,"Adventure","PG",124,3832,17078.34,6.5,14,527000,31
"Never Back Down","03/14/08","Summit Entertainment",2.1e+07,24848292,8603195,"Action","PG-13",110,2729,3152.51,6.2,2,55700,24
"Nick and Norah's Infinite Playlist","10/03/08","Columbia Pictures",9e+06,31487293,11311751,"Drama","PG-13",90,2421,4672.35,6.9,0,50000,72
"Nights in Rodanthe","09/26/08","Warner Bros.",NA,41840908,13418454,"Drama","PG-13",97,2704,4962.45,5.7,2,86700,31
"Nim's Island","04/04/08","FOX – Distributor",3.7e+07,48002678,13210579,"Adventure","PG",96,3513,3760.48,6.1,5,77500,49
"No Country for Old Men","11/09/08","Miramax",2.5e+07,74273505,1226333,"Action","R",122,28,43797.61,8.3,7,260000,94
"Nothing Like the Holidays","12/12/08","Overture Films",NA,7502429,3531664,"Comedy","PG-13",98,1671,2114,6.2,0,26400,50
"One Missed Call","01/04/08","Warner Bros.",NA,26876529,12511473,"Horror","PG-13",87,2240,5585.48,3.5,0,90200,0
"Over Her Dead Body","02/01/08","New Line",1e+07,7563670,4025115,"Comedy","PG-13",95,1977,2036,5.2,0,52400,15
"P.S., I Love You","12/21/07","Warner Bros.",3e+07,53695808,9283468,"Romantic Comedy","PG-13",126,2454,3782.99,6.9,5,143000,22
"Passchendaele","10/24/08","Alliance Atlantis",NA,NA,NA,"Drama","Not Rated",114,204,3201,6.9,0,233000,NA
"Penelope","02/29/08","Summit Entertainment",1.5e+07,10011274,3802144,"Drama","PG",104,1196,3179,7.1,0,29800,50
"Persepolis","12/25/07","Sony Pictures",7300000,4443403,136962,"Drama","PG-13",96,7,12689,8,1,285000,96
"Pride and Glory","10/24/08","Warner Bros.",3e+07,15709385,6262396,"Drama","R",130,2585,2422.59,6.8,6,841000,34
"Prom Night","04/11/08","Sony/Screen Gems",1.8e+07,43869350,20804941,"Horror","PG-13",88,2700,7705.53,3.6,0,80600,9
"Punisher: War Zone","12/05/08","Lionsqate",3.5e+07,7948159,4271451,"Action","R",103,2508,1703,6.2,0,120000,26
"Quarantine","10/10/08","Sony/Screen Gems",1.2e+07,31691811,14211321,"Horror","R",89,2461,5774.61,6.1,0,3150000,59
"Rachel Getting Married","10/03/08","Sony Pictures",NA,12796277,293369,"Drama","R",113,9,32597,6.9,4,160000,86
"Rambo","01/25/08","Lionsqate",5e+07,42724402,18203876,"Action","R",92,2751,6617.19,7.3,1,884000,37
"Religulous","10/01/08","Lionsqate",NA,12995673,3409643,"Documentary","R",101,502,6792.12,7.8,0,310000,70
"Righteous Kill","09/12/08","Overture Films",6e+07,40076438,16288361,"Thriller/Suspense","R",101,3152,5167.63,6.1,15,210000,20
"RocknRolla","10/08/08","Warner Bros.",1.8e+07,5694401,144701,"Action","R",114,7,20672,7.3,2,8e+05,59
"Role Models","11/07/08","Universal – Distributor, Production Company",2.8e+07,67294280,19167085,"Comedy","R",99,2792,6865,7.2,0,197000,76
"Run, Fat Boy, Run","03/22/08","Picturehouse",NA,5998971,2340743,"Comedy","PG-13",100,1133,2066,6.8,0,242000,48
"Saw V","10/24/08","Lionsqate",10800000,56729973,30053954,"Horror","R",92,3060,9821.55,5.8,0,101000,15
"Sea Monsters: A Prehistoric Adventure","10/05/07","National Geographic Entertainment",NA,23038670,605722,"Documentary","Not Rated",40,252,2403.66,7.2,0,8560,100
"Semi-Pro","02/29/08","New Line",NA,33472850,15075114,"Comedy","R",91,3121,4830.22,5.7,2,31800,21
"Seven Pounds","12/19/08","Columbia Pictures",5.5e+07,69951824,14851136,"Drama","PG-13",123,2758,5384.75,7.6,3,892000,27
"Sex and the City","05/30/08","Warner Bros.",6.5e+07,152647258,56848056,"Comedy","R",145,3285,17305.34,5.5,2,151000,50
"Sex Drive","10/17/08","Summit Entertainment",1.9e+07,8402485,NA,"Comedy","R",109,2421,1490,6.8,0,43000,45
"Shine a Light","04/04/08","Paramount",NA,5355376,1488081,"Documentary","R",122,276,5392,7.3,0,1040000,86
"Shutter","03/21/08","FOX – Distributor",NA,25926543,10447559,"Horror","PG-13",85,2753,3794.97,4.8,0,44900,7
"Slumdog Millionaire","11/12/08","FOX – Distributor",1.5e+07,141319195,360018,"Drama","R",120,10,36001.8,8.4,0,377000,93
